SERIES;INDICE PRODUCCION INDUSTRIAL. FRANCIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ALEMANIA. CVEC;INDICE PRODUCCION INDUSTRIAL. ITALIA. CVEC
201103;1.053.000.000.000.000.000;1.009.000.000.000.000.000;1.055.000.000.000.000.000
201104;1.035.000.000.000.000.000;1.011.000.000.000.000.000;1.066.000.000.000.000.000
201105;1.070.000.000.000.000.000;1.021.000.000.000.000.000;1.046.000.000.000.000.000
201106;1.038.000.000.000.000.000;1.005.000.000.000.000.000;1.037.000.000.000.000.000
201107;1.051.000.000.000.000.000;1.037.000.000.000.000.000;1.033.000.000.000.000.000
201108;1.040.000.000.000.000.000;1.029.000.000.000.000.000;1.026.000.000.000.000.000
201109;1.034.000.000.000.000.000;1.013.000.000.000.000.000;1.023.000.000.000.000.000
201110;1.037.000.000.000.000.000;1.025.000.000.000.000.000;1.008.000.000.000.000.000
201111;1.059.000.000.000.000.000;1.018.000.000.000.000.000;1.017.000.000.000.000.000
201112;1.038.000.000.000.000.000;1.007.000.000.000.000.000;1.026.000.000.000.000.000
201201;1.030.000.000.000.000.000;1.011.000.000.000.000.000;986.000.000.000.000.000
201202;1.034.000.000.000.000.000;1.015.000.000.000.000.000;989.000.000.000.000.000
201203;1.028.000.000.000.000.000;1.023.000.000.000.000.000;993.000.000.000.000.000
201204;1.037.000.000.000.000.000;1.008.000.000.000.000.000;979.000.000.000.000.000
201205;1.016.000.000.000.000.000;1.025.000.000.000.000.000;995.000.000.000.000.000
201206;1.015.000.000.000.000.000;1.014.000.000.000.000.000;974.000.000.000.000.000
201207;1.023.000.000.000.000.000;1.022.000.000.000.000.000;985.000.000.000.000.000
201208;1.035.000.000.000.000.000;1.024.000.000.000.000.000;978.000.000.000.000.000
201209;1.020.000.000.000.000.000;1.011.000.000.000.000.000;975.000.000.000.000.000
201210;1.004.000.000.000.000.000;997.000.000.000.000.000;957.000.000.000.000.000
